County,Year(s),Number of Extreme Heat Days
Wayne,1984,17
Wayne,1985,11
Wayne,1986,17
Wayne,1987,29
Wayne,1988,39
Wayne,1989,18
Wayne,1990,16
Wayne,1991,29
Wayne,1992,4
Wayne,1993,24
Wayne,1994,20
Wayne,1995,34
Wayne,1996,14
Wayne,1997,15
Wayne,1998,21
Wayne,1999,28
Wayne,2000,13
Wayne,2001,23
Wayne,2002,40
Wayne,2003,18
Wayne,2004,11
Wayne,2005,39
Wayne,2006,24
Wayne,2007,26
Wayne,2008,21
Wayne,2009,10
Wayne,2010,43
Wayne,2011,32
Wayne,2012,41
Wayne,2013,30
Wayne,2014,21
Wayne,2015,27
Wayne,2016,41
Wexford,1979,2
Wexford,1980,6
Wexford,1981,1
Wexford,1982,3
Wexford,1983,17
Wexford,1984,2
Wexford,1985,3
Wexford,1986,6
Wexford,1987,15
Wexford,1988,17
Wexford,1989,3
Wexford,1990,2
Wexford,1991,12
Wexford,1993,2
Wexford,1994,4
Wexford,1995,9
Wexford,1996,3
Wexford,1997,4
Wexford,1998,5
Wexford,1999,7
Wexford,2000,1
Wexford,2001,14
Wexford,2002,10
Wexford,2003,6
Wexford,2005,13
Wexford,2006,12
Wexford,2007,13
Wexford,2008,1
Wexford,2009,4
Wexford,2010,14
Wexford,2011,20
Wexford,2012,23
Wexford,2013,12
Wexford,2014,6
Wexford,2015,8
Wexford,2016,13
