County,Year(s),Number of Extreme Heat Days
Charlevoix,2002,2
Charlevoix,2003,1
Charlevoix,2005,4
Charlevoix,2006,2
Charlevoix,2010,2
Charlevoix,2011,3
Charlevoix,2012,4
Charlevoix,2015,1
Charlevoix,2016,2
Cheboygan,2006,2
Cheboygan,2011,1
Cheboygan,2016,1
Chippewa,1981,1
Chippewa,1982,1
Chippewa,1983,4
Chippewa,1986,2
Chippewa,1987,4
Chippewa,1988,6
Chippewa,1989,1
Chippewa,1991,4
Chippewa,1994,1
Chippewa,1995,4
Chippewa,1997,1
Chippewa,1998,2
Chippewa,1999,3
Chippewa,2001,8
Chippewa,2002,4
Chippewa,2003,1
Chippewa,2005,8
Chippewa,2006,8
Chippewa,2007,2
Chippewa,2010,3
Chippewa,2011,8
Chippewa,2012,4
Chippewa,2013,3
Chippewa,2015,1
Chippewa,2016,2
Clare,1979,2
Clare,1980,11
Clare,1981,4
Clare,1982,4
Clare,1983,21
Clare,1984,5
Clare,1985,4
Clare,1986,7
Clare,1987,17
Clare,1988,27
Clare,1989,4
Clare,1990,5
Clare,1991,16
Clare,1992,1
Clare,1993,6
Clare,1994,6
Clare,1995,14
Clare,1996,4
Clare,1997,8
Clare,1998,8
Clare,1999,13
Clare,2000,3
Clare,2001,14
Clare,2002,15
Clare,2003,8
Clare,2004,1
Clare,2005,22
Clare,2006,17
Clare,2007,12
Clare,2008,4
Clare,2009,4
Clare,2010,22
Clare,2011,26
Clare,2012,24
Clare,2013,21
Clare,2014,7
Clare,2015,12
Clare,2016,18
Clinton,1979,4
Clinton,1980,18
Clinton,1981,9
Clinton,1982,8
Clinton,1983,31
Clinton,1984,13
Clinton,1985,8
Clinton,1986,12
Clinton,1987,25
Clinton,1988,34
Clinton,1989,10
Clinton,1990,12
Clinton,1991,21
Clinton,1992,3
Clinton,1993,13
Clinton,1994,10
Clinton,1995,27
Clinton,1996,8
Clinton,1997,13
Clinton,1998,16
Clinton,1999,22
Clinton,2000,10
Clinton,2001,18
Clinton,2002,30
Clinton,2003,14
Clinton,2004,9
Clinton,2005,33
Clinton,2006,23
Clinton,2007,24
Clinton,2008,20
Clinton,2009,6
Clinton,2010,38
Clinton,2011,32
Clinton,2012,39
Clinton,2013,31
Clinton,2014,18
Clinton,2015,23
Clinton,2016,36
Crawford,1979,1
Crawford,1980,4
Crawford,1981,2
Crawford,1982,2
Crawford,1983,15
Crawford,1984,3
Crawford,1985,2
Crawford,1986,6
Crawford,1987,9
Crawford,1988,16
Crawford,1989,2
Crawford,1990,2
Crawford,1991,12
Crawford,1993,3
Crawford,1994,4
Crawford,1995,11
Crawford,1996,3
Crawford,1997,5
Crawford,1998,5
Crawford,1999,9
Crawford,2000,1
Crawford,2001,12
Crawford,2002,12
Crawford,2003,6
Crawford,2005,18
Crawford,2006,14
Crawford,2007,9
Crawford,2009,4
Crawford,2010,14
Crawford,2011,22
Crawford,2012,19
Crawford,2013,14
Crawford,2014,5
Crawford,2015,9
Crawford,2016,9
Delta,1980,2
Delta,1981,2
Delta,1983,13
Delta,1984,1
Delta,1986,4
Delta,1987,9
Delta,1988,14
Delta,1989,3
Delta,1991,9
Delta,1994,1
Delta,1995,10
Delta,1996,1
Delta,1997,3
Delta,1998,2
Delta,1999,8
Delta,2000,1
Delta,2001,12
Delta,2002,11
Delta,2003,5
Delta,2004,1
Delta,2005,19
Delta,2006,12
Delta,2007,11
Delta,2008,1
Delta,2009,4
Delta,2010,11
Delta,2011,14
Delta,2012,16
Delta,2013,13
Delta,2014,3
Delta,2015,7
Delta,2016,10
Dickinson,1980,6
Dickinson,1981,3
Dickinson,1982,4
Dickinson,1983,18
Dickinson,1984,3
Dickinson,1985,2
Dickinson,1986,7
